division,product_type,material_type,tariff_country_code,tariff_country_description,tariff_code,customs_description,material_composition
Men,T-Shirts,Knit,CHE,Switzerland,61099000-000,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,DIST,Distributor countries,610990,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,EU,Europe,6109902000,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,CAN,Canada,6109900010,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,GBR,United Kingdom,6109902000,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,JPN,Japan,610990200,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,BRA,Brazil,61099000,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,KOR,South Korea,6109903010,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,NZL,New Zealand,6109900200K,knitted t-shirt,
Men,T-Shirts,Knit,NOR,Norway,61099010,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,USA,United States,6109901007,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,HKG,Hong Kong,61099010,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,AUS,Australia,6109900005,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,CHN,China,6109909000,knitted t-shirt,100% Polyester
Men,T-Shirts,Knit,BRA,Brazil,61099000,nan,
Men,T-Shirts,Knit,KOR,South Korea,6109903010,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,CHN,China,6109909000,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,DIST,Distributor countries,610990,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,HKG,Hong Kong,61099010,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,JPN,Japan,610990200,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,EU,Europe,6109902000,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,GBR,United Kingdom,6109902000,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,NOR,Norway,61099010,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,CAN,Canada,6109900010,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,CHE,Switzerland,61099000-000,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,USA,United States,6109901007,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,T-Shirts,Knit,AUS,Australia,6109900005,knitted t-shirt,"Front: 90% recycled polyester, 10% elastane 
Back: 80% recycled polyester, 20% elastane"
Men,Sweatshirts,Knit,GBR,United Kingdom,6110309100,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,USA,United States,6110303010,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CHN,China,6110300090,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,AUS,Australia,6110300052,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,NOR,Norway,61103000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,KOR,South Korea,6110301000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,BRA,Brazil,61103000,nan,
Men,Sweatshirts,Knit,HKG,Hong Kong,61103010,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CAN,Canada,6110300091,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,JPN,Japan,611030030,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CHE,Switzerland,61103000-000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,EU,Europe,6110309100,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,DIST,Distributor countries,611030,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,BRA,Brazil,61103000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CHN,China,6110300090,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,GBR,United Kingdom,6110309100,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,EU,Europe,6110309100,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,KOR,South Korea,6110301000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,DIST,Distributor countries,611030,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,NOR,Norway,61103000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CHE,Switzerland,61103000-000,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,AUS,Australia,6110300052,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,JPN,Japan,611030030,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,CAN,Canada,6110300091,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,USA,United States,6110303010,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,HKG,Hong Kong,61103010,knitted hoodie,100% Polyester
Men,Sweatshirts,Knit,GBR,United Kingdom,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,USA,United States,6110303010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,BRA,Brazil,61103000,nan,
Men,Sweatshirts,Knit,AUS,Australia,6110300052,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NZL,New Zealand,61103002009E,knitted hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,EU,Europe,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,HKG,Hong Kong,61103010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CAN,Canada,6110300091,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHN,China,6110300090,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,JPN,Japan,611030030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,DIST,Distributor countries,611030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NOR,Norway,61103000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHE,Switzerland,61103000-000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,KOR,South Korea,6110301000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CAN,Canada,6110300091,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,BRA,Brazil,61103000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,KOR,South Korea,6110301000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,JPN,Japan,611030030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,HKG,Hong Kong,61103010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,DIST,Distributor countries,611030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,EU,Europe,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,AUS,Australia,6110300052,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,GBR,United Kingdom,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHN,China,6110300090,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NOR,Norway,61103000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,USA,United States,6110303010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHE,Switzerland,61103000-000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NZL,New Zealand,61103002009E,knitted hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,BRA,Brazil,61103000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,JPN,Japan,611030030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NZL,New Zealand,61103002009E,knitted hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHN,China,6110300090,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CAN,Canada,6110300091,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,HKG,Hong Kong,61103010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,KOR,South Korea,6110301000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,NOR,Norway,61103000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,AUS,Australia,6110300052,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,USA,United States,6110303010,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,DIST,Distributor countries,611030,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,EU,Europe,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,CHE,Switzerland,61103000-000,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Sweatshirts,Knit,GBR,United Kingdom,6110309100,hoodie,100% Polyester (Mechanical Recycled) - rPES
Men,Tights,Knit,HKG,Hong Kong,61034310,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CHE,Switzerland,61034300-000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,BRA,Brazil,61034300,nan,
Men,Tights,Knit,NOR,Norway,61034300,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,DIST,Distributor countries,610343,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CHN,China,6103430090,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,GBR,United Kingdom,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,JPN,Japan,610343000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,EU,Europe,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,KOR,South Korea,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,NZL,New Zealand,6103430207C,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,AUS,Australia,6103430044,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CAN,Canada,6103430015,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,USA,United States,6103431550,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,BRA,Brazil,61034300,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,AUS,Australia,6103430044,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,DIST,Distributor countries,610343,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,HKG,Hong Kong,61034310,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,NOR,Norway,61034300,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,KOR,South Korea,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CAN,Canada,6103430015,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,NZL,New Zealand,6103430207C,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,USA,United States,6103431550,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CHE,Switzerland,61034300-000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,GBR,United Kingdom,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,CHN,China,6103430090,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,EU,Europe,6103430000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,JPN,Japan,610343000,knitted tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL"
Men,Tights,Knit,JPN,Japan,610343000,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,AUS,Australia,6103430044,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,DIST,Distributor countries,610343,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,CHN,China,6103430090,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,HKG,Hong Kong,61034310,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,BRA,Brazil,61034300,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,KOR,South Korea,6103430000,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,EU,Europe,6103430000,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,CAN,Canada,6103430015,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,USA,United States,6103431550,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,CHE,Switzerland,61034300-000,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,NOR,Norway,61034300,knitted tights half,"73% polyamide, 27% elastane"
Men,Tights,Knit,GBR,United Kingdom,6103430000,knitted tights half,"73% polyamide, 27% elastane"
Men,Pants,Knit,AUS,Australia,6103430032,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,HKG,Hong Kong,61034310,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,GBR,United Kingdom,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,JPN,Japan,610343000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,KOR,South Korea,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NOR,Norway,61034300,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CHN,China,6103430090,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NZL,New Zealand,6103430201D,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CAN,Canada,6103430012,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,USA,United States,6103431520,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CHE,Switzerland,61034300-000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,BRA,Brazil,61034300,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,EU,Europe,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,DIST,Distributor countries,610343,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,GBR,United Kingdom,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,BRA,Brazil,61034300,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CAN,Canada,6103430012,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,HKG,Hong Kong,61034310,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,USA,United States,6103431520,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NZL,New Zealand,6103430201D,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CHE,Switzerland,61034300-000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,KOR,South Korea,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CHN,China,6103430090,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,JPN,Japan,610343000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,DIST,Distributor countries,610343,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,AUS,Australia,6103430032,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NOR,Norway,61034300,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,EU,Europe,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,HKG,Hong Kong,61034310,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CAN,Canada,6103430012,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,BRA,Brazil,61034300,nan,
Men,Pants,Knit,CHE,Switzerland,61034300-000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,JPN,Japan,610343000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,GBR,United Kingdom,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,CHN,China,6103430090,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,KOR,South Korea,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,USA,United States,6103431520,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,DIST,Distributor countries,610343,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NZL,New Zealand,6103430201D,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,EU,Europe,6103430000,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,AUS,Australia,6103430032,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Pants,Knit,NOR,Norway,61034300,knitted pants,"40% Polyamide , 30% Recycled Polyester, 30% Cationic Dyeable Polyester"
Men,Shorts,Woven,NOR,Norway,62034301,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CAN,Canada,6203430020,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,KOR,South Korea,6203430000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,BRA,Brazil,62034300,nan,
Men,Shorts,Woven,JPN,Japan,620343200,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,HKG,Hong Kong,62034319,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHN,China,6203439090,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,GBR,United Kingdom,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,DIST,Distributor countries,620343,woven shorts,"50% Polyester (DISTmical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,EU,Europe,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,USA,United States,6203439030,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,AUS,Australia,6203430004,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHE,Switzerland,62034300-000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NZL,New Zealand,6203430205C,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,DIST,Distributor countries,620343,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHE,Switzerland,62034300-000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,AUS,Australia,6203430004,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,BRA,Brazil,62034300,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,JPN,Japan,620343200,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NOR,Norway,62034301,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,HKG,Hong Kong,62034319,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHN,China,6203439090,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,EU,Europe,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,KOR,South Korea,6203430000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NZL,New Zealand,6203430205C,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,GBR,United Kingdom,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,USA,United States,6203439030,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CAN,Canada,6203430020,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NOR,Norway,62034301,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NZL,New Zealand,6203430205C,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHE,Switzerland,62034300-000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHN,China,6203439090,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,AUS,Australia,6203430004,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,GBR,United Kingdom,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,JPN,Japan,620343200,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,HKG,Hong Kong,62034319,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,BRA,Brazil,62034300,nan,
Men,Shorts,Woven,EU,Europe,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CAN,Canada,6203430020,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,KOR,South Korea,6203430000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,DIST,Distributor countries,620343,woven shorts,"50% Polyester (DISTmical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,USA,United States,6203439030,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NOR,Norway,62034301,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,AUS,Australia,6203430004,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,KOR,South Korea,6203430000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,GBR,United Kingdom,6203439000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,HKG,Hong Kong,62034319,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,JPN,Japan,620343200,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHN,China,6203439090,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,BRA,Brazil,62034300,nan,
Men,Shorts,Woven,DIST,Distributor countries,620343,woven shorts,"50% Polyester (DISTmical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,NZL,New Zealand,6203430205C,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CHE,Switzerland,62034300-000,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,CAN,Canada,6203430020,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
Men,Shorts,Woven,USA,United States,6203439030,woven shorts,"50% Polyester (Chemical Monofilament Recycled) - rPES, 50% Polyester - PES"
